Anomalia,Frecuencia,Porcentaje (%)
< -1.5,0,0.0
-1.5 a -1,0,0.0
-1 a -0.5,0,0.0
-0.5 a 0,21,5.8
0 a 0.5,170,47.2
0.5 a 1,154,42.8
1 a 1.5,15,4.2
> 1.5,0,0.0
